2004,1,30,5,627,630,904,915,UA,462,N428UA,97,105,81,-11,-3,ORD,CLT,599,7,9,0,,0,0,0,0,0,0
2004,1,31,6,630,630,910,915,UA,462,N830UA,100,105,82,-5,0,ORD,CLT,599,3,15,0,,0,0,0,0,0,0
2004,1,1,4,1510,1505,1753,1725,UA,463,N844UA,283,260,248,28,5,ORD,PDX,1739,6,29,0,,0,0,0,28,0,0
2004,1,2,5,1610,1505,1832,1725,UA,463,N827UA,262,260,247,67,65,ORD,PDX,1739,2,13,0,,0,9,0,2,0,56
2004,1,3,6,1523,1505,1806,1725,UA,463,N827UA,283,260,257,41,18,ORD,PDX,1739,6,20,0,,0,18,0,23,0,0
2004,1,4,7,NA,1505,NA,1725,UA,463,000000,NA,260,NA,NA,NA,ORD,PDX,1739,0,0,1,C,0,0,0,0,0,0
2004,1,5,1,1622,1505,1855,1725,UA,463,N819UA,273,260,250,90,77,ORD,PDX,1739,3,20,0,,0,8,0,13,0,69
2004,1,6,2,NA,1505,NA,1725,UA,463,000000,NA,260,NA,NA,NA,ORD,PDX,1739,0,0,1,B,0,0,0,0,0,0
2004,1,7,3,NA,1510,NA,1732,UA,463,000000,NA,262,NA,NA,NA,ORD,PDX,1739,0,0,1,C,0,0,0,0,0,0
2004,1,8,4,NA,1510,NA,1732,UA,463,000000,NA,262,NA,NA,NA,ORD,PDX,1739,0,0,1,B,0,0,0,0,0,0
2004,1,9,5,1509,1510,1742,1732,UA,463,N502UA,273,262,233,10,-1,ORD,PDX,1739,7,33,0,,0,0,0,0,0,0
2004,1,10,6,1554,1520,1831,1744,UA,463,N805UA,277,264,248,47,34,ORD,PDX,1739,4,25,0,,0,7,0,13,0,27
2004,1,11,7,1513,1510,1755,1732,UA,463,N580UA,282,262,250,23,3,ORD,PDX,1739,3,29,0,,0,0,0,20,0,3
2004,1,12,1,1511,1510,1736,1732,UA,463,N514UA,265,262,240,4,1,ORD,PDX,1739,5,20,0,,0,0,0,0,0,0
2004,1,13,2,1508,1510,1731,1732,UA,463,N557UA,263,262,237,-1,-2,ORD,PDX,1739,3,23,0,,0,0,0,0,0,0
2004,1,14,3,1509,1510,1746,1732,UA,463,N539UA,277,262,242,14,-1,ORD,PDX,1739,5,30,0,,0,0,0,0,0,0
2004,1,15,4,1508,1510,1728,1732,UA,463,N515UA,260,262,236,-4,-2,ORD,PDX,1739,3,21,0,,0,0,0,0,0,0
2004,1,16,5,1514,1510,1736,1732,UA,463,N574UA,262,262,231,4,4,ORD,PDX,1739,4,27,0,,0,0,0,0,0,0
2004,1,17,6,1608,1520,1818,1744,UA,463,N830UA,250,264,231,34,48,ORD,PDX,1739,4,15,0,,0,0,0,0,0,34
2004,1,18,7,1509,1510,1726,1732,UA,463,N586UA,257,262,238,-6,-1,ORD,PDX,1739,4,15,0,,0,0,0,0,0,0
2004,1,19,1,1508,1510,1732,1732,UA,463,N509UA,264,262,230,0,-2,ORD,PDX,1739,5,29,0,,0,0,0,0,0,0
2004,1,20,2,1509,1510,1731,1732,UA,463,N507UA,262,262,219,-1,-1,ORD,PDX,1739,4,39,0,,0,0,0,0,0,0
2004,1,21,3,1518,1510,1740,1732,UA,463,N527UA,262,262,238,8,8,ORD,PDX,1739,4,20,0,,0,0,0,0,0,0
2004,1,22,4,1508,1510,1724,1732,UA,463,N531UA,256,262,236,-8,-2,ORD,PDX,1739,4,16,0,,0,0,0,0,0,0
2004,1,23,5,1536,1510,1848,1732,UA,463,N529UA,312,262,262,76,26,ORD,PDX,1739,5,45,0,,0,8,0,50,0,18
2004,1,24,6,1519,1520,1814,1744,UA,463,N814UA,295,264,237,30,-1,ORD,PDX,1739,3,55,0,,0,0,0,30,0,0
2004,1,25,7,1519,1510,1747,1732,UA,463,N579UA,268,262,222,15,9,ORD,PDX,1739,5,41,0,,0,9,0,6,0,0
2004,1,26,1,1530,1510,1741,1732,UA,463,N566UA,251,262,231,9,20,ORD,PDX,1739,4,16,0,,0,0,0,0,0,0
2004,1,27,2,1507,1510,1729,1732,UA,463,N520UA,262,262,237,-3,-3,ORD,PDX,1739,4,21,0,,0,0,0,0,0,0
2004,1,28,3,1519,1510,1810,1732,UA,463,N578UA,291,262,256,38,9,ORD,PDX,1739,4,31,0,,0,0,0,30,0,8
2004,1,29,4,1637,1510,1917,1732,UA,463,N576UA,280,262,253,105,87,ORD,PDX,1739,5,22,0,,0,13,0,18,0,74
2004,1,30,5,1528,1510,1753,1732,UA,463,N529UA,265,262,243,21,18,ORD,PDX,1739,2,20,0,,0,18,0,3,0,0
2004,1,31,6,1509,1510,1735,1734,UA,463,N439UA,266,264,236,1,-1,ORD,PDX,1739,3,27,0,,0,0,0,0,0,0
2004,1,1,4,2324,2330,457,526,UA,464,N801UA,213,236,194,-29,-6,OAK,ORD,1835,6,13,0,,0,0,0,0,0,0
2004,1,2,5,10,2330,533,526,UA,464,N485UA,203,236,186,7,40,OAK,ORD,1835,5,12,0,,0,0,0,0,0,0
2004,1,3,6,16,2330,544,526,UA,464,N820UA,208,236,190,18,46,OAK,ORD,1835,8,10,0,,0,18,0,0,0,0
2004,1,4,7,2331,2330,514,526,UA,464,N818UA,223,236,201,-12,1,OAK,ORD,1835,5,17,0,,0,0,0,0,0,0
2004,1,5,1,2331,2330,510,526,UA,464,N414UA,219,236,204,-16,1,OAK,ORD,1835,6,9,0,,0,0,0,0,0,0
2004,1,6,2,2330,2330,514,526,UA,464,N826UA,224,236,205,-12,0,OAK,ORD,1835,5,14,0,,0,0,0,0,0,0
2004,1,10,6,1351,1345,1742,1736,UA,464,N348UA,171,171,144,6,6,ORD,PBI,1144,3,24,0,,0,0,0,0,0,0
2004,1,17,6,1342,1345,1742,1736,UA,464,N325UA,180,171,154,6,-3,ORD,PBI,1144,3,23,0,,0,0,0,0,0,0
2004,1,24,6,1343,1345,1731,1736,UA,464,N311UA,168,171,140,-5,-2,ORD,PBI,1144,2,26,0,,0,0,0,0,0,0
2004,1,31,6,1343,1345,1741,1736,UA,464,N304UA,178,171,160,5,-2,ORD,PBI,1144,2,16,0,,0,0,0,0,0,0
2004,1,2,5,2024,2015,2159,2159,UA,465,N946UA,155,164,143,0,9,DEN,PDX,992,3,9,0,,0,0,0,0,0,0
2004,1,3,6,2109,2015,2252,2159,UA,465,N903UA,163,164,146,53,54,DEN,PDX,992,5,12,0,,0,36,0,0,0,17
2004,1,4,7,2037,2015,2231,2159,UA,465,N901UA,174,164,156,32,22,DEN,PDX,992,6,12,0,,0,22,0,10,0,0
2004,1,5,1,2033,2015,2238,2159,UA,465,N935UA,185,164,169,39,18,DEN,PDX,992,4,12,0,,0,13,0,21,0,5
2004,1,6,2,NA,2015,NA,2159,UA,465,000000,NA,164,NA,NA,NA,DEN,PDX,992,0,0,1,C,0,0,0,0,0,0
2004,1,7,3,NA,2000,NA,2149,UA,465,000000,NA,169,NA,NA,NA,DEN,PDX,992,0,0,1,C,0,0,0,0,0,0
2004,1,8,4,NA,2000,NA,2149,UA,465,000000,NA,169,NA,NA,NA,DEN,PDX,992,0,0,1,B,0,0,0,0,0,0
2004,1,9,5,2011,2000,2157,2149,UA,465,N311UA,166,169,146,8,11,DEN,PDX,992,6,14,0,,0,0,0,0,0,0
2004,1,10,6,1955,2000,2131,2149,UA,465,N929UA,156,169,142,-18,-5,DEN,PDX,992,4,10,0,,0,0,0,0,0,0
2004,1,11,7,2103,2000,2219,2146,UA,465,N556UA,136,166,124,33,63,DEN,PDX,992,4,8,0,,0,6,0,0,0,27
2004,1,12,1,1953,2000,2131,2149,UA,465,N930UA,158,169,141,-18,-7,DEN,PDX,992,4,13,0,,0,0,0,0,0,0
2004,1,13,2,1956,2000,2137,2149,UA,465,N918UA,161,169,144,-12,-4,DEN,PDX,992,5,12,0,,0,0,0,0,0,0
2004,1,14,3,2003,2000,2134,2149,UA,465,N910UA,151,169,135,-15,3,DEN,PDX,992,4,12,0,,0,0,0,0,0,0
2004,1,15,4,2003,2000,2151,2149,UA,465,N933UA,168,169,147,2,3,DEN,PDX,992,7,14,0,,0,0,0,0,0,0
2004,1,16,5,2004,2000,2200,2149,UA,465,N376UA,176,169,146,11,4,DEN,PDX,992,5,25,0,,0,0,0,0,0,0
2004,1,17,6,1957,2000,2135,2149,UA,465,N924UA,158,169,141,-14,-3,DEN,PDX,992,4,13,0,,0,0,0,0,0,0
2004,1,18,7,1955,2000,2133,2146,UA,465,N560UA,158,166,136,-13,-5,DEN,PDX,992,5,17,0,,0,0,0,0,0,0
2004,1,19,1,1956,2000,2132,2149,UA,465,N920UA,156,169,141,-17,-4,DEN,PDX,992,4,11,0,,0,0,0,0,0,0
2004,1,20,2,2058,2000,2224,2149,UA,465,N390UA,146,169,127,35,58,DEN,PDX,992,3,16,0,,0,9,0,0,0,26
2004,1,21,3,2025,2000,2158,2149,UA,465,N925UA,153,169,138,9,25,DEN,PDX,992,4,11,0,,0,0,0,0,0,0
2004,1,22,4,2000,2000,2202,2149,UA,465,N913UA,182,169,147,13,0,DEN,PDX,992,5,30,0,,0,0,0,0,0,0
2004,1,23,5,2039,2000,2220,2149,UA,465,N350UA,161,169,142,31,39,DEN,PDX,992,6,13,0,,0,15,0,0,0,16
2004,1,24,6,1955,2000,2128,2149,UA,465,N932UA,153,169,140,-21,-5,DEN,PDX,992,3,10,0,,0,0,0,0,0,0
2004,1,25,7,2133,2000,2331,2146,UA,465,N508UA,178,166,137,105,93,DEN,PDX,992,5,36,0,,0,45,0,12,0,48
2004,1,26,1,2005,2000,2204,2149,UA,465,N916UA,179,169,153,15,5,DEN,PDX,992,5,21,0,,0,0,0,15,0,0
2004,1,27,2,1955,2000,2142,2149,UA,465,N913UA,167,169,151,-7,-5,DEN,PDX,992,4,12,0,,0,0,0,0,0,0
2004,1,28,3,1957,2000,2149,2149,UA,465,N912UA,172,169,153,0,-3,DEN,PDX,992,5,14,0,,0,0,0,0,0,0
2004,1,29,4,2005,2000,2156,2149,UA,465,N317UA,171,169,148,7,5,DEN,PDX,992,7,16,0,,0,0,0,0,0,0
2004,1,30,5,1959,2000,2147,2149,UA,465,N911UA,168,169,149,-2,-1,DEN,PDX,992,2,17,0,,0,0,0,0,0,0
2004,1,31,6,2010,2000,2212,2149,UA,465,N920UA,182,169,137,23,10,DEN,PDX,992,2,43,0,,0,9,0,13,0,1
2004,1,7,3,1836,1839,1906,1915,UA,465,N927UA,90,96,75,-9,-3,OKC,DEN,495,6,9,0,,0,0,0,0,0,0
2004,1,8,4,1832,1839,1915,1915,UA,465,N915UA,103,96,85,0,-7,OKC,DEN,495,8,10,0,,0,0,0,0,0,0
2004,1,9,5,1833,1839,1912,1915,UA,465,N930UA,99,96,83,-3,-6,OKC,DEN,495,6,10,0,,0,0,0,0,0,0
2004,1,10,6,1832,1839,1907,1915,UA,465,N912UA,95,96,81,-8,-7,OKC,DEN,495,6,8,0,,0,0,0,0,0,0
2004,1,11,7,1841,1839,1919,1915,UA,465,N373UA,98,96,75,4,2,OKC,DEN,495,8,15,0,,0,0,0,0,0,0
2004,1,12,1,1851,1839,1919,1915,UA,465,N932UA,88,96,75,4,12,OKC,DEN,495,5,8,0,,0,0,0,0,0,0
2004,1,13,2,1829,1839,1910,1915,UA,465,N918UA,101,96,86,-5,-10,OKC,DEN,495,6,9,0,,0,0,0,0,0,0
2004,1,14,3,1837,1839,1910,1915,UA,465,N349UA,93,96,77,-5,-2,OKC,DEN,495,7,9,0,,0,0,0,0,0,0
2004,1,15,4,1839,1839,1910,1915,UA,465,N933UA,91,96,74,-5,0,OKC,DEN,495,6,11,0,,0,0,0,0,0,0
2004,1,16,5,1908,1839,1941,1915,UA,465,N913UA,93,96,75,26,29,OKC,DEN,495,4,14,0,,0,0,0,2,0,24
2004,1,17,6,1839,1839,1905,1915,UA,465,N921UA,86,96,71,-10,0,OKC,DEN,495,4,11,0,,0,0,0,0,0,0
2004,1,18,7,1835,1839,1907,1915,UA,465,N390UA,92,96,74,-8,-4,OKC,DEN,495,7,11,0,,0,0,0,0,0,0
2004,1,19,1,1832,1839,1902,1915,UA,465,N920UA,90,96,75,-13,-7,OKC,DEN,495,6,9,0,,0,0,0,0,0,0
2004,1,20,2,2128,1839,2153,1915,UA,465,N387UA,85,96,73,158,169,OKC,DEN,495,5,7,0,,0,0,0,0,0,158
2004,1,21,3,1832,1839,1906,1915,UA,465,N925UA,94,96,80,-9,-7,OKC,DEN,495,5,9,0,,0,0,0,0,0,0
2004,1,22,4,1832,1839,1914,1915,UA,465,N913UA,102,96,80,-1,-7,OKC,DEN,495,5,17,0,,0,0,0,0,0,0
2004,1,23,5,1831,1839,1905,1915,UA,465,N315UA,94,96,72,-10,-8,OKC,DEN,495,6,16,0,,0,0,0,0,0,0
2004,1,24,6,1829,1839,1853,1915,UA,465,N932UA,84,96,70,-22,-10,OKC,DEN,495,6,8,0,,0,0,0,0,0,0
2004,1,25,7,1913,1839,1958,1915,UA,465,N394UA,105,96,74,43,34,OKC,DEN,495,22,9,0,,0,0,0,9,0,34
2004,1,26,1,1846,1839,1930,1915,UA,465,N319UA,104,96,80,15,7,OKC,DEN,495,12,12,0,,0,0,0,12,0,3
2004,1,27,2,1827,1839,1904,1915,UA,465,N913UA,97,96,80,-11,-12,OKC,DEN,495,7,10,0,,0,0,0,0,0,0
2004,1,28,3,1837,1839,1914,1915,UA,465,N912UA,97,96,82,-1,-2,OKC,DEN,495,6,9,0,,0,0,0,0,0,0
2004,1,29,4,1837,1839,1919,1915,UA,465,N317UA,102,96,83,4,-2,OKC,DEN,495,7,12,0,,0,0,0,0,0,0
2004,1,30,5,1834,1839,1909,1915,UA,465,N911UA,95,96,76,-6,-5,OKC,DEN,495,7,12,0,,0,0,0,0,0,0
2004,1,31,6,1848,1839,1936,1915,UA,465,N920UA,108,96,78,21,9,OKC,DEN,495,16,14,0,,0,0,0,12,0,9
2004,1,1,4,1814,1807,1920,1919,UA,465,N906UA,126,132,116,1,7,SAT,DEN,794,5,5,0,,0,0,0,0,0,0
2004,1,2,5,2007,1807,2107,1919,UA,465,N940UA,120,132,105,108,120,SAT,DEN,794,6,9,0,,0,0,0,0,0,108
2004,1,3,6,1849,1807,2002,1919,UA,465,N903UA,133,132,113,43,42,SAT,DEN,794,15,5,0,,0,21,0,1,0,21
2004,1,4,7,1835,1807,1935,1919,UA,465,N901UA,120,132,107,16,28,SAT,DEN,794,6,7,0,,0,3,0,0,0,13
2004,1,5,1,1846,1807,1950,1919,UA,465,N935UA,124,132,109,31,39,SAT,DEN,794,5,10,0,,0,16,0,0,0,15
2004,1,6,2,1817,1807,1927,1919,UA,465,N942UA,130,132,115,8,10,SAT,DEN,794,8,7,0,,0,0,0,0,0,0
2004,1,1,4,2059,2100,2320,2332,UA,466,N903UA,81,92,70,-12,-1,DEN,MCI,533,3,8,0,,0,0,0,0,0,0
2004,1,2,5,2114,2100,2334,2332,UA,466,N954UA,80,92,63,2,14,DEN,MCI,533,5,12,0,,0,0,0,0,0,0
2004,1,3,6,2145,2100,8,2332,UA,466,N940UA,83,92,65,36,45,DEN,MCI,533,5,13,0,,0,8,0,0,0,28
2004,1,4,7,2118,2100,2342,2332,UA,466,N956UA,84,92,66,10,18,DEN,MCI,533,7,11,0,,0,0,0,0,0,0
2004,1,5,1,2137,2100,2,2332,UA,466,N317UA,85,92,71,30,37,DEN,MCI,533,3,11,0,,0,30,0,0,0,0
2004,1,6,2,2111,2100,2332,2332,UA,466,N945UA,81,92,67,0,11,DEN,MCI,533,3,11,0,,0,0,0,0,0,0
2004,1,7,3,2042,2045,2305,2313,UA,466,N807UA,83,88,67,-8,-3,DEN,MCI,533,4,12,0,,0,0,0,0,0,0
2004,1,8,4,2039,2045,2301,2313,UA,466,N848UA,82,88,68,-12,-6,DEN,MCI,533,3,11,0,,0,0,0,0,0,0
2004,1,9,5,2041,2045,2312,2313,UA,466,N819UA,91,88,72,-1,-4,DEN,MCI,533,5,14,0,,0,0,0,0,0,0
2004,1,10,6,2040,2045,2257,2313,UA,466,N853UA,77,88,66,-16,-5,DEN,MCI,533,2,9,0,,0,0,0,0,0,0
2004,1,11,7,2049,2045,2324,2313,UA,466,N831UA,95,88,69,11,4,DEN,MCI,533,3,23,0,,0,0,0,0,0,0
2004,1,12,1,2051,2045,2313,2313,UA,466,N819UA,82,88,67,0,6,DEN,MCI,533,5,10,0,,0,0,0,0,0,0
2004,1,13,2,2042,2045,2308,2313,UA,466,N848UA,86,88,73,-5,-3,DEN,MCI,533,3,10,0,,0,0,0,0,0,0
2004,1,14,3,2042,2045,2311,2313,UA,466,N825UA,89,88,72,-2,-3,DEN,MCI,533,4,13,0,,0,0,0,0,0,0
2004,1,15,4,2041,2045,2306,2313,UA,466,N855UA,85,88,72,-7,-4,DEN,MCI,533,3,10,0,,0,0,0,0,0,0
2004,1,16,5,2043,2045,2313,2313,UA,466,N823UA,90,88,74,0,-2,DEN,MCI,533,4,12,0,,0,0,0,0,0,0
2004,1,17,6,2045,2045,2308,2313,UA,466,N836UA,83,88,69,-5,0,DEN,MCI,533,4,10,0,,0,0,0,0,0,0
2004,1,18,7,2050,2045,2316,2313,UA,466,N837UA,86,88,70,3,5,DEN,MCI,533,4,12,0,,0,0,0,0,0,0
2004,1,19,1,2042,2045,2309,2313,UA,466,N805UA,87,88,65,-4,-3,DEN,MCI,533,5,17,0,,0,0,0,0,0,0
2004,1,20,2,2042,2045,2307,2313,UA,466,N854UA,85,88,67,-6,-3,DEN,MCI,533,3,15,0,,0,0,0,0,0,0
2004,1,21,3,2040,2045,2309,2313,UA,466,N802UA,89,88,72,-4,-5,DEN,MCI,533,5,12,0,,0,0,0,0,0,0
2004,1,22,4,2044,2045,2312,2313,UA,466,N811UA,88,88,72,-1,-1,DEN,MCI,533,4,12,0,,0,0,0,0,0,0
2004,1,23,5,2039,2045,2257,2313,UA,466,N852UA,78,88,64,-16,-6,DEN,MCI,533,3,11,0,,0,0,0,0,0,0
2004,1,24,6,2039,2045,2311,2313,UA,466,N807UA,92,88,74,-2,-6,DEN,MCI,533,4,14,0,,0,0,0,0,0,0
2004,1,25,7,2106,2045,21,2313,UA,466,N834UA,135,88,75,68,21,DEN,MCI,533,5,55,0,,0,16,0,47,0,5
2004,1,26,1,2040,2045,2308,2313,UA,466,N816UA,88,88,70,-5,-5,DEN,MCI,533,6,12,0,,0,0,0,0,0,0
2004,1,27,2,2054,2045,2307,2313,UA,466,N840UA,73,88,62,-6,9,DEN,MCI,533,3,8,0,,0,0,0,0,0,0
2004,1,28,3,2040,2045,2311,2313,UA,466,N839UA,91,88,77,-2,-5,DEN,MCI,533,4,10,0,,0,0,0,0,0,0
2004,1,29,4,2050,2045,2317,2313,UA,466,N846UA,87,88,72,4,5,DEN,MCI,533,4,11,0,,0,0,0,0,0,0
2004,1,30,5,2043,2045,2305,2313,UA,466,N817UA,82,88,67,-8,-2,DEN,MCI,533,5,10,0,,0,0,0,0,0,0
2004,1,31,6,2047,2045,2322,2313,UA,466,N855UA,95,88,72,9,2,DEN,MCI,533,4,19,0,,0,0,0,0,0,0
2004,1,1,4,1658,1645,2004,2014,UA,466,N903UA,126,149,110,-10,13,SJC,DEN,948,5,11,0,,0,0,0,0,0,0
2004,1,2,5,1704,1645,2010,2014,UA,466,N906UA,126,149,114,-4,19,SJC,DEN,948,4,8,0,,0,0,0,0,0,0
2004,1,3,6,1742,1645,2105,2014,UA,466,N940UA,143,149,117,51,57,SJC,DEN,948,10,16,0,,0,0,0,0,0,51
2004,1,4,7,1720,1645,2043,2014,UA,466,N956UA,143,149,119,29,35,SJC,DEN,948,15,9,0,,0,0,0,0,0,29
2004,1,5,1,1715,1645,2023,2014,UA,466,N317UA,128,149,115,9,30,SJC,DEN,948,5,8,0,,0,0,0,0,0,0
2004,1,6,2,1701,1645,2011,2014,UA,466,N939UA,130,149,113,-3,16,SJC,DEN,948,5,12,0,,0,0,0,0,0,0
2004,1,7,3,1636,1640,1949,1952,UA,466,N807UA,133,132,105,-3,-4,SMF,DEN,910,19,9,0,,0,0,0,0,0,0
2004,1,8,4,1634,1640,1957,1952,UA,466,N848UA,143,132,116,5,-6,SMF,DEN,910,19,8,0,,0,0,0,0,0,0
2004,1,9,5,1635,1640,1949,1952,UA,466,N819UA,134,132,114,-3,-5,SMF,DEN,910,7,13,0,,0,0,0,0,0,0
2004,1,10,6,1640,1640,1948,1952,UA,466,N853UA,128,132,113,-4,0,SMF,DEN,910,5,10,0,,0,0,0,0,0,0
2004,1,11,7,1635,1640,1955,1952,UA,466,N831UA,140,132,119,3,-5,SMF,DEN,910,12,9,0,,0,0,0,0,0,0
2004,1,12,1,1630,1640,1939,1952,UA,466,N819UA,129,132,115,-13,-10,SMF,DEN,910,5,9,0,,0,0,0,0,0,0
2004,1,13,2,1634,1640,1955,1952,UA,466,N848UA,141,132,118,3,-6,SMF,DEN,910,15,8,0,,0,0,0,0,0,0
2004,1,14,3,1632,1640,1939,1952,UA,466,N825UA,127,132,113,-13,-8,SMF,DEN,910,5,9,0,,0,0,0,0,0,0
2004,1,15,4,1636,1640,1952,1952,UA,466,N855UA,136,132,114,0,-4,SMF,DEN,910,14,8,0,,0,0,0,0,0,0
2004,1,16,5,1635,1640,1953,1952,UA,466,N823UA,138,132,123,1,-5,SMF,DEN,910,6,9,0,,0,0,0,0,0,0
2004,1,17,6,1637,1640,1945,1952,UA,466,N836UA,128,132,115,-7,-3,SMF,DEN,910,3,10,0,,0,0,0,0,0,0
2004,1,18,7,1633,1640,1938,1952,UA,466,N837UA,125,132,108,-14,-7,SMF,DEN,910,6,11,0,,0,0,0,0,0,0
2004,1,19,1,1634,1640,1953,1952,UA,466,N805UA,139,132,114,1,-6,SMF,DEN,910,15,10,0,,0,0,0,0,0,0
2004,1,20,2,1633,1640,2002,1952,UA,466,N854UA,149,132,129,10,-7,SMF,DEN,910,11,9,0,,0,0,0,0,0,0
2004,1,21,3,1634,1640,1953,1952,UA,466,N802UA,139,132,122,1,-6,SMF,DEN,910,5,12,0,,0,0,0,0,0,0
2004,1,22,4,1631,1640,2001,1952,UA,466,N811UA,150,132,121,9,-9,SMF,DEN,910,19,10,0,,0,0,0,0,0,0
2004,1,23,5,1638,1640,1946,1952,UA,466,N852UA,128,132,114,-6,-2,SMF,DEN,910,5,9,0,,0,0,0,0,0,0
2004,1,24,6,1632,1640,1945,1952,UA,466,N821UA,133,132,114,-7,-8,SMF,DEN,910,11,8,0,,0,0,0,0,0,0
2004,1,25,7,1636,1640,2015,1952,UA,466,N834UA,159,132,125,23,-4,SMF,DEN,910,25,9,0,,0,0,0,23,0,0
2004,1,26,1,1629,1640,1936,1952,UA,466,N816UA,127,132,112,-16,-11,SMF,DEN,910,5,10,0,,0,0,0,0,0,0
2004,1,27,2,1633,1640,2000,1952,UA,466,N837UA,147,132,121,8,-7,SMF,DEN,910,17,9,0,,0,0,0,0,0,0
2004,1,28,3,1636,1640,1957,1952,UA,466,N810UA,141,132,117,5,-4,SMF,DEN,910,17,7,0,,0,0,0,0,0,0
2004,1,29,4,1633,1640,1943,1952,UA,466,N846UA,130,132,116,-9,-7,SMF,DEN,910,6,8,0,,0,0,0,0,0,0
2004,1,30,5,1644,1640,1956,1952,UA,466,N817UA,132,132,105,4,4,SMF,DEN,910,16,11,0,,0,0,0,0,0,0
2004,1,31,6,1631,1640,1954,1952,UA,466,N855UA,143,132,117,2,-9,SMF,DEN,910,16,10,0,,0,0,0,0,0,0
2004,1,1,4,857,900,1038,1035,UA,467,N322UA,221,215,207,3,-3,CLT,DEN,1337,4,10,0,,0,0,0,0,0,0
2004,1,2,5,906,900,1053,1035,UA,467,N328UA,227,215,202,18,6,CLT,DEN,1337,5,20,0,,0,6,0,12,0,0
2004,1,3,6,900,900,1115,1035,UA,467,N315UA,255,215,221,40,0,CLT,DEN,1337,11,23,0,,0,0,0,40,0,0
2004,1,4,7,857,900,1059,1035,UA,467,N352UA,242,215,217,24,-3,CLT,DEN,1337,9,16,0,,0,0,0,24,0,0
2004,1,5,1,947,900,1141,1035,UA,467,N339UA,234,215,214,66,47,CLT,DEN,1337,7,13,0,,0,47,0,19,0,0
2004,1,6,2,947,900,1153,1035,UA,467,N311UA,246,215,222,78,47,CLT,DEN,1337,6,18,0,,0,47,0,31,0,0
2004,1,7,3,2003,2010,2118,2114,UA,467,N513UA,75,64,41,4,-7,LAS,LAX,236,8,26,0,,0,0,0,0,0,0
2004,1,8,4,2005,2010,2104,2114,UA,467,N507UA,59,64,40,-10,-5,LAS,LAX,236,4,15,0,,0,0,0,0,0,0
2004,1,9,5,2009,2010,2112,2114,UA,467,N560UA,63,64,42,-2,-1,LAS,LAX,236,4,17,0,,0,0,0,0,0,0
2004,1,10,6,2005,2010,2100,2115,UA,467,N399UA,55,65,41,-15,-5,LAS,LAX,236,5,9,0,,0,0,0,0,0,0
2004,1,11,7,2013,2015,2130,2119,UA,467,N592UA,77,64,46,11,-2,LAS,LAX,236,5,26,0,,0,0,0,0,0,0
2004,1,12,1,2005,2010,2106,2114,UA,467,N511UA,61,64,43,-8,-5,LAS,LAX,236,4,14,0,,0,0,0,0,0,0
2004,1,13,2,2005,2010,2103,2114,UA,467,N539UA,58,64,40,-11,-5,LAS,LAX,236,9,9,0,,0,0,0,0,0,0
2004,1,14,3,2003,2010,2105,2114,UA,467,N567UA,62,64,38,-9,-7,LAS,LAX,236,5,19,0,,0,0,0,0,0,0
2004,1,15,4,2011,2010,2107,2114,UA,467,N522UA,56,64,38,-7,1,LAS,LAX,236,4,14,0,,0,0,0,0,0,0
